NDB_No,Nutr_No,Isfl_Val,SD,n,Min,Max,CC,DataSrc_ID
11453,713,12.5,0,2,12.5,12.5,C,22
11457,710,0,0,3,0,0,C,"31,50,89"
11457,711,0,0,3,0,0,C,"31,50,89"
11457,712,0,,1,0,0,C,89
11457,713,0,0,3,0,0,C,"31,50,89"
11457,715,0,,1,0,0,,89
11457,716,0,,1,0,0,,89
11458,710,0,0,2,0,0,C,"50,89"
11458,711,0,0,2,0,0,C,"50,89"
11458,712,0,,1,0,0,C,89
11458,713,0,0,2,0,0,C,"50,89"
11458,715,0,,1,0,0,,89
11458,716,0,,1,0,0,,89
11468,715,0,,1,0,0,,89
11468,716,0,,1,0,0,,89
11477,710,0,0,2,0,0,B,50
11477,711,0,0,2,0,0,B,50
11477,713,0,0,2,0,0,B,50
11478,710,0,0,2,0,0,B,50
11478,711,0,0,2,0,0,B,50
11478,713,0,0,2,0,0,B,50
11486,710,0,,1,0,0,D,89
11486,711,0,,1,0,0,D,89
11486,712,0,,1,0,0,D,89
11486,713,0,,1,0,0,D,89
11507,710,0,0,2,0,0,C,"31,50"
11507,711,0.01,0.01,2,0,0.02,C,"31,50"
11507,713,0.01,0.01,2,0,0.02,C,"31,50"
11507,714,0,,1,0,0,,31
11507,715,0,,1,0,0,,31
11507,716,0,,1,0,0,,31
11510,710,0,0,2,0,0,C,"50,89"
11510,711,0,0,2,0,0,C,"50,89"
11510,712,0,,1,0,0,C,89
11510,713,0,0,2,0,0,C,"50,89,"
11510,715,0,,1,0,0,,89
11510,716,0,,1,0,0,,89
11529,710,0,0,3,0,0,C,"31,50,89"
11529,711,0,0,3,0,0,C,"31,50,89"
11529,712,0,,1,0,0,C,89
11529,713,0,0,3,0,0,C,"31,50,89"
11529,715,0,,1,0,0,,89
11529,716,0,,1,0,0,,89
11564,710,0,0,2,0,0,C,"31,50"
11564,711,0,0,2,0,0,C,"31,50"
11564,713,0,0,2,0,0,C,"31,50"
11565,710,0,,1,0,0,B,50
11565,711,0,,1,0,0,B,50
11565,713,0,,1,0,0,B,50
11578,710,0,,1,0,0,D,89
11578,711,0.01,,1,0.01,0.01,D,89
11578,712,0,,1,0,0,D,89
11578,713,0.01,,1,0.01,0.01,D,89
11578,715,0,,1,0,0,,89
11578,716,0,,1,0,0,,89
11591,710,0,,1,0,0,B,50
11591,711,0,,1,0,0,B,50
11591,713,0,,1,0,0,B,50
11667,715,0,,1,0,0,,89
11667,716,0,,1,0,0,,89
11670,710,0,,1,0,0,D,31
11670,711,0,,1,0,0,D,31
11670,713,0,,1,0,0,D,31
11697,710,0,,1,0,0,B,49
11697,711,0,,1,0,0,B,49
11697,713,0.01,,1,0.01,0.01,B,49
11935,710,0,,1,0,0,D,31
11935,711,0,,1,0,0,D,31
11935,713,0,,1,0,0,D,31
11957,710,0,,1,0,0,B,50
11957,711,0,,1,0,0,B,50
11957,713,0,,1,0,0,B,50
11963,710,0,,1,0,0,D,31
11963,711,0,,1,0,0,D,31
11963,713,0,,1,0,0,D,31
12023,710,0,0,2,0,0,C,"51,89"
12023,711,0,0,2,0,0,C,"51,89"
12023,712,0,,1,0,0,C,89
12023,713,0.01,0,2,0.01,0.01,C,"51,89"
12023,715,0,,1,0,0,,89
12023,716,0,,1,0,0,,89
12036,710,0,0,3,0,0,C,59
12036,711,0,0,3,0,0,C,59
12036,713,0,0,3,0,0,C,59
12036,714,0.01,,3,0.01,0.01,,59
12036,715,0.03,,3,0.03,0.03,,59
12036,716,0.01,,3,0.01,0.01,,59
12038,710,0,0,3,0,0,C,"31,51,89"
12038,711,0,0,3,0,0,C,"31,51,89"
12038,712,0,,1,0,0,C,89
12038,713,0,0,3,0,0,C,"31,51,89"
12038,714,0,,1,0,0,,31
12038,715,0,0,2,0,0,,31.89
12038,716,0,0,2,0,0,,31.89
12061,710,0,0,2,0,0,C,"51,89"
12061,711,0.01,0.01,2,0,0.01,C,"51,89"
12061,712,0,,1,0,0,C,89
12061,713,0.01,0.01,2,0,0.02,C,"51,89"
12061,715,0,,1,0,0,,89
12061,716,0.02,,1,0.02,0.02,,89
12078,710,0,,1,0,0,B,51
12078,711,0,,1,0,0,B,51
12078,713,0,,1,0,0,B,51
12087,710,0,,1,0,0,D,89
12087,711,0.01,,1,0.01,0.01,D,89
12087,712,0,,1,0,0,D,89
12087,713,0.01,,1,0.01,0.01,D,89
12087,715,0.01,,1,0.01,0.01,,89
12087,716,0,,1,0,0,,89
12097,710,0,,1,0,0,B,51
12097,711,0,,1,0,0,B,51
12097,713,0.01,,1,0.01,0.01,B,51
12101,710,0,0,2,0,0,C,"51,89"
12101,711,0.01,0.01,2,0,0.02,C,"51,89"
12101,712,0,,1,0,0,C,89
12101,713,0.01,0.01,2,0,0.02,C,"51,89"
12101,715,0,,1,0,0,,89
12101,716,0,,1,0,0,,89
12104,710,0.01,,1,0.01,0.01,B,51
12104,711,0.01,,1,0.01,0.01,B,51
12104,713,0.02,,1,0.02,0.02,B,51
12108,710,0,,1,0,0,B,51
12108,711,0,,1,0,0,B,51
12108,713,0,,1,0,0,B,51
12120,710,0.01,0.01,2,0,0.01,C,"51,89"
12120,711,0.02,0,2,0.02,0.02,C,"51,89"
12120,712,0,,1,0,0,C,89
12120,713,0.03,0.01,2,0.02,0.03,C,"51,89"
12120,715,0,,1,0,0,,89
12120,716,0,,1,0,0,,89
12142,710,0,,1,0,0,D,89
12142,711,0,,1,0,0,D,89
12142,712,0,,1,0,0,D,89
12142,713,0,,1,0,0,D,89
12142,715,0,,1,0,0,,89
12142,716,0,,1,0,0,,89
12151,710,1.88,2.55,2,0.07,3.68,C,"29,89"
12151,711,1.75,2.33,2,0.1,3.4,C,"29,89"
12151,712,0,,1,0,0,C,89
12151,713,3.63,4.88,2,0.18,7.08,C,"29,89"
12151,715,0,,1,0,0,,89
12151,716,0.01,,1,0.01,0.01,,89
12155,710,0.02,0.03,2,0,0.04,C,"51,89"
12155,711,0.01,0.01,2,0,0.02,C,"51,89"
12155,712,0,,1,0,0,C,89
12155,713,0.03,0.04,2,0,0.05,C,"51,89"
12155,715,0,,1,0,0,,89
12155,716,0,,1,0,0,,89
12220,710,0.02,0.03,4,0,0.06,C,"59,89"
12220,711,0.04,0.08,4,0,0.17,C,"59,89"
12220,712,0.06,,1,0.06,0.06,C,89
12220,713,0.07,0.13,4,0,0.29,C,"59,89"
12220,714,0,,3,0,0,,59
12220,715,0.02,0.02,4,0,0.03,,"59,89"
12220,716,0.02,0.03,4,0,0.05,,"59,89"
14003,710,0,,1,0,0,D,31
14003,711,0,,1,0,0,D,31
14003,713,0,,1,0,0,D,31
14006,710,0,,1,0,0,C,89
14006,711,0,,1,0,0,C,89
14006,712,0,,1,0,0,C,89
14006,713,0,,1,0,0,C,89
14006,715,0,,1,0,0,,89
14006,716,0,,1,0,0,,89
14106,710,0,,1,0,0,C,89
14106,711,0,,1,0,0,C,89
14106,712,0,,1,0,0,C,89
14106,713,0,,1,0,0,C,89
14106,715,0,,1,0,0,,89
14106,716,0,,1,0,0,,89
14201,710,0,,1,0,0,D,89
14201,711,0,,1,0,0,D,89
14201,712,0,,1,0,0,D,89
14201,713,0,,1,0,0,D,89
14201,715,0,,1,0,0,,89
14201,716,0,,1,0,0,,89
14209,710,0.03,0.04,2,0,0.05,C,"31,89"
14209,711,0.01,0.01,2,0,0.02,C,"31,89"
14209,712,0,,1,0,0,C,89
14209,713,0.04,0.05,2,0,0.07,C,"31,89"
14209,714,0,,1,0,0,,31
14209,715,0,0,2,0,0,,"31,89"
14209,716,0.03,0.04,2,0,0.05,,"31,89"
14242,710,0,,1,0,0,C,89
14242,711,0,,1,0,0,C,89
14242,712,0,,1,0,0,C,89
14242,713,0,,1,0,0,C,89
14242,715,0,,1,0,0,,89
14242,716,0,,1,0,0,,89
14355,710,0,0,2,0,0,C,"31,89"
14355,711,0,0,2,0,0,C,"31,89"
14355,712,0,,1,0,0,C,89
14355,713,0,0,2,0,0,C,"31,89"
14355,715,0,,1,0,0,,89
14355,716,0,,1,0,0,,89
14602,710,0,,1,0,0,C,89
14602,711,0,,1,0,0,C,89
14602,712,0,,1,0,0,C,89
14602,713,0,,1,0,0,C,89
14602,715,0.01,,1,0.01,0.01,,89
14602,716,0,,1,0,0,,89
15138,710,0.05,0.07,2,0,0.1,C,91
15138,711,0.05,0.07,2,0,0.1,C,91
15138,712,0,0,2,0,0,C,91
15138,713,0.1,0.14,2,0,0.2,C,91
15184,710,0.04,0.07,8,0,0.2,B,"89,91"
15184,711,0.05,0.11,8,0,0.3,B,"89,91"
15184,712,0,0,8,0,0,B,"89,91"
15184,713,0.09,0.17,8,0,0.5,B,"89,91"
15184,715,0,,1,0,0,,89
15184,716,0,,1,0,0,,89
15185,710,0.12,0.24,6,0,0.6,C,91
15185,711,0.15,0.37,6,0,0.9,C,91
15185,712,0.02,0.04,6,0,0.1,C,91
15185,713,0.28,0.65,6,0,1.6,C,91
16001,710,0.36,0.16,9,0,0.57,B,"61,73"
16001,711,0.23,0.1,9,0,0.36,B,"61,73"
16001,712,0,0,6,0,0,C,73
16001,713,0.59,0.25,9,0,0.91,B,"61,73"
16001,714,0,0,6,0,0,,73
16001,715,0,0,6,0,0,,73
16001,716,0,0,6,0,0,,73
16006,710,0,0,4,0,0,B,"50,89,99"
16006,711,0.01,0.01,4,0,0.01,B,"50,89,99"
16006,712,0,0,2,0,0,C,"89,99"
16006,713,0.01,0.01,4,0,0.01,B,"50,89,99"
16009,715,0,,1,0,0,,89
16009,716,0,,1,0,0,,89
16014,710,0.01,0.01,3,0,0.02,C,"2,24,31"
16014,711,0,0,3,0,0,C,"2,24,31"
16014,712,0,,1,0,0,C,2
16014,713,0.01,0.01,3,0,0.02,C,"2,24,31"
16014,714,0,,1,0,0,,2
16014,715,0,,1,0,0,,2
16014,716,0,,1,0,0,,2
16018,710,0,,1,0,0,D,89
16018,711,0,,1,0,0,D,89
16018,712,0,,1,0,0,D,89
16018,713,0,,1,0,0,D,89
16018,715,0,,1,0,0,,89
16018,716,0,,1,0,0,,89
16019,710,0,,1,0,0,C,2
16019,711,0,,1,0,0,C,2
16019,712,0.01,,1,0.01,0.01,C,2
16019,713,0.01,,1,0.01,0.01,C,2
16019,714,0,,1,0,0,,2
16019,715,0,,1,0,0,,2
16019,716,0,,1,0,0,,2
16024,710,0,0,2,0,0,C,"24,31"
16024,711,0,0,2,0,0,C,"24,31"
16024,713,0,0,2,0,0,C,"24,31"
16024,714,0.6,,1,0.6,0.6,,24
16024,715,0,,1,0,0,,24
16024,716,0,,1,0,0,,24
16027,712,0,0,15,0,0,B,7
16027,714,0.04,0.14,25,0,0.5,,"57,73"
16027,715,0,0,25,0,0.01,,"57,73"
16027,716,0,0,25,0,0.01,,"57,73"
16028,710,0,,1,0,0,C,24
16028,711,0,,1,0,0,C,24
16028,713,0,,1,0,0,C,24
16028,714,0.41,,1,0.41,0.41,,24
16028,715,0,,1,0,0,,24
16028,716,0,,1,0,0,,24
16032,710,0.01,0.01,2,0.01,0.02,B,"50,57"
16032,711,0.01,0.01,2,0,0.02,B,"50,57"
16032,713,0.02,0.02,2,0.01,0.04,B,"50,57"
16032,714,0.01,,3,0.01,0.01,,57
16032,715,0,,3,0,0,,57
16032,716,0,,3,0,0,,57
16033,710,0.01,0.01,2,0,0.01,B,"24,50"
16033,711,0.01,0.01,2,0,0.01,B,"24,50"
16033,713,0.01,0.01,2,0,0.02,B,"24,50"
16034,710,0,,1,0,0,D,89
16034,711,0,,1,0,0,D,89
16034,712,0,,1,0,0,D,89
16034,713,0,,1,0,0,D,89
16034,715,0,,1,0,0,,89
16034,716,0,,1,0,0,,89
16037,710,0.01,0.01,2,0,0.01,C,"24,57"
16037,711,0.2,0.29,2,0,0.41,C,"24,57"
16037,713,0.21,0.3,2,0,0.42,C,"24,57"
16037,714,0.02,0.02,4,0,0.04,,"24,57"
16037,715,0,0,4,0,0,,"24,57"
16037,716,0,0,4,0,0,,"24,57"
16040,710,0,,1,0,0,C,24
16040,711,0,,1,0,0,C,24
16040,713,0,,1,0,0,C,24
16040,714,0,,1,0,0,,24
16040,715,1.05,,1,1.05,1.05,,24
16040,716,0,,1,0,0,,24
16042,710,0.01,0.01,3,0,0.02,C,"24,31,57"
16042,711,0.17,0.3,3,0,0.52,C,"24,31,57"
16042,713,0.18,0.31,3,0,0.54,C,"24,31,57"
16042,714,0.28,0.39,4,0,0.56,,"24,57"
16042,715,0.01,0.01,4,0,0.02,,"24,57"
16042,716,1.81,2.55,4,0,3.61,,"24,57"
16045,710,0,0,2,0,0,C,"24,31"
16045,711,0.37,0.52,2,0,0.74,C,"24,31"
16045,713,0.37,0.52,2,0,0.74,C,"24,31"
16045,714,0,,1,0,0,,24
16045,715,0.82,,1,0.82,0.82,,24
16045,716,0,,1,0,0,,24
16047,710,0.26,0.12,7,0,0.4,C,"2,82"
16047,711,0.17,0.07,7,0,0.2,C,"2,82"
16047,712,0,,1,0,0,C,2
16047,713,0.43,0.19,7,0,0.6,C,"2,82"
16047,714,0,,1,0,0,,2
16047,715,0,,1,0,0,,2
16047,716,0,,1,0,0,,2
16049,710,0,,1,0,0,C,2
16049,711,0.01,,1,0.01,0.01,C,2
16049,712,0.01,,1,0.01,0.01,C,2
16049,713,0.02,,1,0.02,0.02,C,2
16049,714,0.01,,1,0.01,0.01,,2
16049,715,0,,1,0,0,,2
16049,716,0,,1,0,0,,2
16050,710,0.01,,1,0.01,0.01,D,89
16050,711,0.03,,1,0.03,0.03,D,89
16050,712,0,,1,0,0,D,89
16050,713,0.04,,1,0.04,0.04,D,89
16050,715,0,,1,0,0,,89
16050,716,0,,1,0,0,,89
16052,710,0.33,1,10,0,3.27,B,"2,50,57,61,73"
16052,711,0.15,0.52,13,0,1.93,B,"2,25,50,57,61,73"
16052,712,0.28,0.5,4,0,1.1,B,"2,73"
16052,713,0.63,1.93,10,0,6.3,B,"2,50,57,61,73"
16052,714,0.12,0.23,6,0,0.46,,"2,57,73"
16052,715,0.01,0.02,6,0,0.04,,"2,57,73"
16052,716,0,0,6,0,0,,"2,57,73"
16053,710,0,,1,0,0,B,50
16053,711,0,,1,0,0,B,50
16053,713,0,,1,0,0,B,50
16054,710,0,,1,0,0,D,89
16054,711,0,,1,0,0,D,89
16054,712,0,,1,0,0,D,89
16054,713,0,,1,0,0,D,89
16054,715,0,,1,0,0,,89
16054,716,0,,1,0,0,,89
16056,710,0.21,0.2,11,0,0.65,B,"2,24,31,50,57,73,76b"
16056,711,0.06,0.05,10,0,0.14,B,"2,24,31,50,57,73,76b"
16056,712,0.18,0.38,5,0,0.89,B,"2,73,76b"
16056,713,0.38,0.31,10,0,1.06,B,"2,24,31,50,57,73"
16056,714,1.54,1.02,9,0,3.08,,"2,24,31,57,73"
16056,715,0.12,0.13,9,0,0.36,,"2,24,31,57,73"
16056,716,0.01,0.02,9,0,0.05,,"2,24,31,57,73"
16057,710,0,,1,0,0,B,50
16057,711,0.02,,1,0.02,0.02,B,50
16057,713,0.02,,1,0.02,0.02,B,50
16058,710,0,,1,0,0,D,89
16058,711,0,,1,0,0,D,89
16058,712,0,,1,0,0,D,89
16058,713,0,,1,0,0,D,89
16058,715,0,,1,0,0,,89
16058,716,0,,1,0,0,,89
16062,710,0.01,0.01,4,0,0.03,C,"24,31,57"
16062,711,0.02,0.02,4,0,0.03,C,"24,31,57"
16062,713,0.03,0.03,4,0,0.06,C,"24,31,57"
16062,714,0.58,1,3,0,1.73,,"24,57"
16062,715,0,0,3,0,0.01,,"24,57"
16062,716,0.01,0.01,3,0,0.01,,"24,57"
16069,710,0.01,0.02,9,0,0.06,B,"2,24,31,50,57,76b"
16069,711,0.05,0.12,9,0,0.36,B,"2,24,31,50,57,76b"
16069,712,0,0,3,0,0,C,"2,76b"
16069,713,0.06,0.14,8,0,0.42,B,"2,24,31,50,57"
16069,714,0,0.01,4,0,0.01,,"2,57"
16069,715,0,0.01,4,0,0.01,,"2,57"
16069,716,0,0,4,0,0.01,,"2,57"
16070,710,0,0,2,0,0,C,"50,89"
16070,711,0,0,2,0,0,C,"50,89"
16070,712,0,,1,0,0,C,89
16070,713,0.01,0.01,2,0,0.01,C,"50,89"
16070,715,0.01,,1,0.01,0.01,,89
16070,716,0,,1,0,0,,89
16071,712,0,0,21,0,0,B,73
16071,714,0.27,0.26,25,0,0.5,,"24,57,73"
16071,715,0.32,0.31,25,0.01,0.96,,"24,57,73"
16071,716,0.14,0.45,25,0,1.48,,"24,57,73"
16072,710,0.01,0.02,3,0,0.03,B,"24,50"
16072,711,0.03,0.05,3,0,0.08,B,"24,50"
16072,713,0.01,0.01,2,0,0.01,B,"24,50"
16072,714,0,,1,0,0,,24
16072,715,0.01,,1,0.01,0.01,,24
16072,716,0,,1,0,0,,24
16074,710,0,,1,0,0,C,24
16074,711,0,,1,0,0,C,24
16074,713,0,,1,0,0,C,24
16074,714,0.37,,1,0.37,0.37,,24
16074,715,0.55,,1,0.55,0.55,,24
16074,716,0,,1,0,0,,24
16076,710,0.1,,1,0.1,0.1,C,2
16076,711,0.15,,1,0.15,0.15,C,2
16076,712,0,,1,0,0,C,2
16076,713,0.25,,1,0.25,0.25,C,2
16076,714,0,,1,0,0,,2
16076,715,0,,1,0,0,,2
16076,716,0,,1,0,0,,2
16080,710,0,0,13,0,0.01,B,"24,50,57,64,73"
16080,711,0.09,0.09,13,0,0.37,B,"24,50,57,64,73"
16080,712,0,0,3,0,0,B,73
16080,713,0.09,0.1,13,0,0.38,B,"24,50,57,64,73"
16080,714,0,0.01,10,0,0.01,,"24,57,64,73"
16080,715,0.21,0.35,5,0,0.61,,"24,57,73"
16080,716,0,0.01,5,0,0.01,,"24,57,73"
16081,710,0.01,0.01,2,0,0.01,C,"50,89"
16081,711,0.01,0.01,2,0,0.01,C,"50,89"
16081,712,0,,1,0,0,C,89
16081,713,0.01,0.01,2,0,0.02,C,"50,89"
16081,715,0,,1,0,0,,89
16081,716,0,,1,0,0,,89
16083,710,0.01,0.01,7,0,0.02,B,"24,57,73"
16083,711,0.01,0.01,7,0,0.03,B,"24,57,73"
16083,712,0,0,3,0,0,C,73
16083,713,0.02,0.02,7,0,0.05,B,"24,57,73"
16083,714,0.02,0.04,6,0,0.08,,"57,73"
16083,715,0,0,6,0,0,,"57,73"
16083,716,0,0.01,6,0,0.01,,"57,73"
16085,710,0.32,1.5,23,0,7.26,B,"24,31,50,57,61,73,76b"
16085,711,0.11,0.16,23,0,0.8,B,"24,31,50,57,61,73,76b"
16085,712,0,0,10,0,0,B,"73,76b"
16085,713,0.44,1.52,22,0,7.26,B,"24,31,50,57,61,73"
16085,714,0.09,0.27,14,0,0.86,,"2,24,57,73"
16085,715,0,0.01,14,0,0.02,,"2,24,57,73"
16085,716,0.81,2.56,14,0,8.11,,"2,24,57,73"
16086,710,0,0,2,0,0,B,50
16086,711,0.01,0,2,0.01,0.01,B,50
16086,713,0.02,0.01,2,0.01,0.02,B,50
16087,710,0.02,0.01,9,0.01,0.05,B,"51,57"
16087,711,0.24,0.11,9,0.02,0.39,B,"51,57"
16087,713,0.26,0.11,9,0.02,0.39,B,"51,57"
16087,714,0.01,0,6,0,0.01,,57
16087,715,0,0,6,0,0.01,,57
16087,716,0,0,6,0,0.01,,57
16089,710,0,,1,0,0,D,89
16089,711,0,,1,0,0,D,89
16089,712,0,,1,0,0,D,89
16089,713,0.01,,1,0.01,0.01,D,89
16089,715,0,,1,0,0,,89
16089,716,0,,1,0,0,,89
16090,710,0,,1,0,0,B,51
16090,711,0.02,,1,0.02,0.02,B,51
16090,713,0.02,,1,0.02,0.02,B,51
16098,710,0,0,2,0,0,C,"31,51"
16098,711,0.01,0.01,2,0,0.01,C,"31,51"
16098,713,0.01,0.01,2,0,0.01,C,"31,51"
16101,710,0.02,0,3,0.02,0.02,C,57
16101,711,0.54,0,3,0.54,0.54,C,57
16101,713,0.56,0,3,0.56,0.56,C,57
16101,714,0.1,0.11,3,0.01,0.22,,57
16101,715,0.02,0.01,3,0.01,0.03,,57
16101,716,0.01,0.01,3,0,0.01,,57
16104,710,2.2,0.73,5,1,2.8,C,"89,91,95"
16104,711,5.66,1.65,5,2.7,6.9,C,"89,91,95"
16104,712,1.5,1.06,5,0.1,2.4,C,"89,91,95"
16104,713,9.36,3.26,5,4.5,12.1,C,"89,91,95"
16104,715,0,,1,0,0,,89
16104,716,0,,1,0,0,,89
16107,710,4.46,1.52,7,3.6,8,B,"64,66,99"
16107,711,9.23,1.5,7,8.3,12.5,B,"64,66,99"
16107,712,2.3,0.71,2,1.8,2.8,C,"66,99"
16107,713,14.34,4.02,7,11.9,23.3,B,"64,66,99"
16107,714,0,,5,0,0,,64
16108,710,62.9,19.89,951,2.64,191.43,B,"2,4,6,8,11,15,21,22,23,24,26,31,32,34,36,42,44,45,47,50,52,53,57,60,64,73,74,78,88,90,94,95,96,98,99,100"
16108,711,81.35,22.63,951,5.56,276.21,B,"2,4,6,8,11,15,21,22,23,24,26,31,32,34,36,42,44,45,47,50,52,53,57,60,64,73,74,78,88,90,94,95,96,98,99,100"
16108,712,15.29,7.58,717,0,121.69,B,"2,4,6,11,15,22,23,26,32,36,42,44,47,52,53,60,73,74,90,94,95,96,98,99,100"
16108,713,155.76,43.23,950,10.04,440.72,B,"2,4,6,8,11,15,21,22,23,24,26,31,32,34,36,42,44,45,47,50,52,53,57,60,64,73,74,88,90,94,95,96,98,99,100"
16108,714,0,0.01,25,0,0.02,,"2,24,31,57,64,73,88"
16108,715,8.46,14.55,46,0,39.4,,"2,24,31,44,57,73"
16108,716,0.02,0.06,20,0,0.19,,"2,24,31,57,73,88"
16109,710,30.76,10.64,28,9.66,64.9,B,"8,22,24,50,74,89,90"
16109,711,31.26,8.83,28,4.1,54.1,B,"8,22,24,50,74,89,90"
16109,712,3.75,1.53,23,0.85,9.2,B,"22,74,89,90"
16109,713,65.11,19.57,28,22.66,128.2,B,"8,22,24,50,74,89,90"
16109,714,0,,1,0,0,,24
16109,715,0,0,2,0,0.01,,"24,89"
16109,716,0,0,2,0,0,,"24,89"
16111,710,62.14,28.04,16,0.54,97,B,"13,22,23,24,68,74,89,95"
16111,711,75.78,25.18,25,1.1,110.55,B,"13,14,22,23,24,25,68,74,89,95"
16111,712,13.33,8.69,12,0,30.7,B,"22,23,68,74,89,95"
16111,713,148.5,63.12,16,1.66,201.9,B,"13,22,23,24,68,74,89,95"
16111,714,0,,1,0,0,,24
16111,715,0.03,0.04,2,0,0.06,,"24,89"
16111,716,0.02,0.03,2,0,0.04,,"24,89"
16112,710,16.43,7.69,72,1.81,47.12,B,"8,13,22,55,61,66,74,89,90,95,102"
16112,711,23.24,8.37,78,1.45,52.4,B,"8,13,22,25,55,61,66,74,89,90,95,102"
16112,712,3,0.81,41,0.8,5.34,B,"22,66,74,89,90,95"
16112,713,41.45,16.17,72,3.26,99.52,B,"8,13,22,55,61,66,74,89,90,95,102"
16112,715,0.01,,1,0.01,0.01,,89
16112,716,0,,1,0,0,,89
16113,710,33.22,9.48,21,16.02,55.3,B,"9,22,66,68,74,90"
16113,711,37.66,7.85,27,21.52,59.37,B,"9,22,25,66,68,74,90"
16113,712,10.55,3.74,18,3.67,19.8,A,"22,66,68,74,90"
16113,713,82.29,18.6,21,46.4,124.1,B,"9,22,66,68,74,90"
16114,710,22.66,8.99,28,4.67,59.69,B,"13,34,35,65,66,72,75,94,95"
16114,711,36.15,17.64,28,1.11,112.21,B,"13,34,35,65,66,72,75,94,95"
16114,712,3.82,1.45,13,0.9,7.3,B,"65,66,72,94,95"
16114,713,60.61,27.44,28,6.88,179.2,B,"13,34,35,65,66,72,75,94,95"
16115,710,72.92,19.02,60,18.2,130.92,B,"18,23,24,59,67,71,75,77,91,94"
16115,711,98.77,20.21,60,36.8,145.23,B,"18,23,24,59,67,71,75,77,91,94"
16115,712,16.12,4.33,25,4.8,24.83,B,"18,23,67,71,91,94"
16115,713,178.1,37.06,60,59.8,264.84,B,"18,23,24,59,67,71,75,77,91,94"
16115,714,0.02,0.04,5,0,0.07,,"24,59,77"
16115,715,0.01,0.02,5,0,0.03,,"24,59,77"
16115,716,0,0,5,0,0,,"24,59,77"
16116,710,89.46,19.72,6,57,119.2,C,"3,13,62,66"
16116,711,85.12,21.36,6,70.74,126.9,C,"3,13,62,66"
16116,712,16.4,2.83,2,14.4,18.4,C,"3,66"
16116,713,165.04,51.03,6,130,260.5,C,"3,13,62,66"
16117,710,64.55,20.2,49,22.6,149.6,B,"11,13,22,42,49,64,65,76,77,81,83,93,94,95"
16117,711,87.31,21.8,79,40.96,174.9,B,"11,13,14,22,42,49,64,65,76,77,81,83,93,94,95"
16117,712,15.08,11.75,27,2.7,59.3,B,"11,22,42,65,81,83,93,94,95"
16117,713,150.94,41.02,49,73.72,324.4,B,"11,13,22,42,49,64,65,76,77,81,83,93,94,95"
16117,714,0,0,9,0,0,,"64,77"
16117,715,0,,4,0,0,,77
16117,716,0,,4,0,0,,77
16119,710,80.77,9.17,8,57.47,87.45,C,"1,97"
16119,711,114.71,18.42,8,68.35,127.38,C,"1,97"
16119,712,16.12,1.02,7,13.69,16.61,C,1
16119,713,209.58,32.71,8,125.82,225.15,C,"1,97"
16119,715,0,,1,0,0,,97
16119,716,0,,1,0,0,,97
16120,715,0,,1,0,0,,97
16120,716,0.81,2.25,40,0,8,,"34,97"
16121,710,5.78,3.83,21,0.79,21.09,B,"13,67,75"
16121,711,5.26,1.78,21,1.29,10.73,B,"13,67,75"
16121,712,1.57,0,6,1.57,1.57,B,67
16121,713,11.49,5.5,21,2.08,31.82,B,"13,67,75"
16122,710,30.81,12.73,49,7.7,68.89,B,"1,3,11,12,13,19,23,67,84,93,94,95"
16122,711,57.28,14.17,55,27.17,105.1,B,"1,3,11,12,13,14,19,23,67,84,93,94,95"
16122,712,8.54,3.22,42,5.4,26.4,B,"1,3,11,12,19,67,93,94,95"
16122,713,91.05,26,49,46.5,199.25,B,"1,3,11,12,13,19,23,67,84,93,94,95"
16123,710,0.78,0.3,50,0.02,2.3,B,"13,31,34,42,61,66,74,81,89,90,97"
16123,711,0.39,0.22,56,0,1.54,B,"13,25,31,34,42,61,66,74,81,89,90,97"
16123,712,0.14,0.07,39,0,0.45,B,"42,66,74,81,89,90"
16123,713,1.18,0.4,50,0.13,2.8,B,"13,31,34,42,61,66,74,81,89,90,97"
16123,714,0,,1,0,0,,31
16123,715,0,0,3,0,0.01,,"31,89,97"
16123,716,0.02,0.03,3,0,0.05,,"31,89,97"
16125,710,0.1,,1,0.1,0.1,B,66
16125,711,0,,1,0,0,B,66
16125,712,0,,1,0,0,B,66
16125,713,0.1,,1,0.1,0.1,B,66
16126,710,12.31,4.72,105,0.9,48.59,B,"11,16,22,23,31,33,34,39,42,61,64,65,66,74,79,81,90,97,104"
16126,711,16.1,7.7,108,2.22,81.51,B,"11,16,22,23,25,31,33,34,39,42,61,64,65,66,74,79,81,90,97,104"
16126,712,2.75,1.28,70,0.57,12.2,B,"11,22,23,33,42,65,66,74,79,81,90,104"
16126,713,30.41,13.3,105,3.12,142.3,B,"11,16,22,23,31,33,34,39,42,61,64,65,66,74,79,81,90,97,104"
16126,714,0,0,6,0,0,,"31,64"
16126,715,0,0,2,0,0,,"31,97"
16126,716,0.11,0.16,2,0,0.23,,"31,97"
16127,710,9.49,2.19,18,3.44,14,B,"16,22,66,79,97"
16127,711,11.91,3.82,18,5.26,21.59,B,"16,22,66,79,97"
16127,712,1.68,0.53,13,1.03,3,B,"22,66,79"
16127,713,22.61,5.43,18,8.7,32.4,B,"16,22,66,79,97"
16127,715,0,,1,0,0,,97
16127,716,0,,1,0,0,,97
16128,710,29.59,2.58,4,25.34,31,C,"74,97"
